timestamp,temperatura,umidita
2026-03-06 10:00:00,22.5,55.0
2026-03-06 10:00:10,22.8,54.5
2026-03-06 10:00:20,23.2,54.0
2026-03-06 10:00:30,23.8,53.5
2026-03-06 10:00:40,24.5,52.0
2026-03-06 10:00:50,25.2,51.0
2026-03-06 10:01:00,24.8,52.0
2026-03-06 10:01:10,24.2,53.0
2026-03-06 10:01:20,23.5,54.0
2026-03-06 11:32:20,26.3,41.9
2026-03-06 11:32:30,27.6,56.5
2026-03-06 11:32:40,26.5,54.1
2026-03-06 11:32:50,20.7,57.4
2026-03-06 11:33:00,27.7,48.3
2026-03-06 11:33:10,22.8,44.0
2026-03-06 11:33:20,26.4,49.2
2026-03-06 11:33:30,19.8,54.2
2026-03-06 11:33:40,29.5,64.1
2026-03-06 11:33:50,22.5,50.3
2026-03-06 11:34:00,20.0,42.7
2026-03-06 11:34:10,17.4,45.6
2026-03-06 11:34:20,27.9,58.1
2026-03-06 11:34:30,16.2,48.6
2026-03-06 11:34:40,18.5,47.2
2026-03-06 11:34:50,28.0,57.4
2026-03-06 11:35:00,17.5,69.9
2026-03-06 11:35:10,28.8,60.6
2026-03-06 11:35:20,29.5,66.0
2026-03-06 11:35:30,20.0,63.4
2026-03-06 11:35:40,25.0,45.1
2026-03-06 11:35:50,29.0,66.8
2026-03-06 11:36:00,24.2,64.2
2026-03-06 11:36:10,26.1,53.1
2026-03-06 11:36:20,24.9,69.6
2026-03-06 11:36:30,15.3,65.3
2026-03-06 11:36:40,18.2,54.3
2026-03-06 11:36:50,27.7,52.8
2026-03-06 11:37:00,26.6,61.6
2026-03-06 11:37:03,23.3,50.8
2026-03-06 11:37:10,26.7,57.0
2026-03-06 11:37:20,28.8,43.6
2026-03-06 11:37:30,22.3,42.7
2026-03-06 11:37:40,18.7,68.3
2026-03-06 11:37:50,15.6,51.2
2026-03-06 11:38:00,30.0,62.0
2026-03-06 11:38:10,29.9,46.5
2026-03-06 11:38:20,18.9,62.0
2026-03-06 11:38:30,26.2,68.3
2026-03-06 11:38:40,19.3,51.2
2026-03-06 11:38:50,29.0,63.6
2026-03-06 11:39:00,20.4,49.5
2026-03-06 11:39:10,23.6,41.3
2026-03-06 11:39:20,16.1,42.4
2026-03-06 11:39:30,21.4,66.7
2026-03-06 11:39:40,23.4,62.7
2026-03-06 11:39:50,22.7,47.0
2026-03-06 11:40:00,18.5,43.0
2026-03-06 11:40:10,24.5,60.2
2026-03-06 11:40:20,20.5,45.0
2026-03-06 11:40:30,20.9,61.1
2026-03-06 11:40:40,23.2,68.6
2026-03-06 11:40:50,26.1,58.1
2026-03-06 11:41:00,29.7,43.0
2026-03-06 11:41:10,18.9,46.3
2026-03-06 11:41:20,15.1,48.5
2026-03-06 11:41:30,17.4,69.5
2026-03-06 11:41:40,18.6,66.3
2026-03-06 11:41:50,21.3,57.0
2026-03-06 11:42:00,29.5,40.1
2026-03-06 11:42:10,16.4,59.2
2026-03-06 11:42:20,28.3,42.4
2026-03-06 11:42:30,22.1,68.0
2026-03-06 11:42:40,24.3,46.9
2026-03-06 11:42:50,29.6,54.8
2026-03-06 11:43:00,27.9,48.1
2026-03-06 11:43:10,23.6,45.7
2026-03-06 11:43:20,19.7,46.7
2026-03-06 11:43:30,21.1,51.2
2026-03-06 11:43:40,26.6,65.4
2026-03-06 11:43:50,18.7,70.0
2026-03-06 11:44:00,28.1,68.6
2026-03-06 11:44:10,21.3,56.5
2026-03-06 11:44:20,20.7,53.4
2026-03-06 11:44:30,19.4,52.2
2026-03-06 11:44:40,23.4,69.0
2026-03-06 11:44:50,19.5,59.1
2026-03-06 11:45:00,23.3,56.5
2026-03-06 11:45:10,27.9,41.1
2026-03-06 11:45:20,27.0,46.1
2026-03-06 11:45:30,19.9,62.7
2026-03-06 11:45:40,27.3,63.9
2026-03-06 11:45:50,23.9,45.3
2026-03-06 11:46:00,18.9,51.0
2026-03-06 11:46:10,17.5,67.4
2026-03-06 11:46:20,18.3,65.7
2026-03-06 11:46:30,28.3,56.8
2026-03-06 11:46:40,15.5,56.7
2026-03-06 11:46:50,17.0,53.8
2026-03-06 11:47:00,23.1,59.4
2026-03-06 11:47:10,15.2,64.2
2026-03-06 11:47:20,29.2,70.0
2026-03-06 11:47:30,17.4,45.2
2026-03-06 11:47:40,18.6,50.6
2026-03-06 11:47:50,27.4,50.4
2026-03-06 11:48:00,20.9,64.2
2026-03-06 11:48:10,19.8,59.2
2026-03-06 11:48:20,25.7,47.2
2026-03-06 11:48:30,23.3,56.6
2026-03-06 11:48:40,26.6,44.1
2026-03-06 11:48:50,20.0,66.4
